"","country","year","percentage_where_some_content_withheld","accounts_specified","accounts_withheld","tweets_withheld","accounts_tos","accounts_no_action","total_withholding_accounts_and_tweets","total_requests_made","requests_where_content_withheld","gdp","region","freedom_score"
"190","Serbia",2017,0,0,0,0,0,0,0,0,0,44120424391.86,"Europe",76
"191","Singapore",2017,0,0,0,0,0,0,0,0,0,338406474038.67,"Asia",51
"192","South Africa",2017,0,0,0,0,0,0,0,0,0,349554116683.818,"SSA",78
"193","South Korea",2017,0,68,0,0,39,0,0,33,0,1530750923148.7,"Asia",82
"194","Spain",2017,6,37,0,2,11,0,2,17,1.02,1309309642308.24,"Europe",94
"195","Sweden",2017,0,0,0,0,0,0,0,0,0,540545236387.733,"Europe",100
"196","Switzerland",2017,0,0,0,0,0,0,0,0,0,679950915261.122,"Europe",96
"197","Thailand",2017,0,1,0,0,0,0,0,1,0,455275517239.347,"Asia",32
"198","Turkey",2017,11,9289,204,497,1376,0,701,2710,298.1,852676778300.885,"Europe",38
"199","Ukraine",2017,0,2,0,0,0,0,0,1,0,112190355158.178,"Eurasia",61
"200","United Arab Emirates",2017,0,54,0,0,49,0,0,15,0,377701060177.47,"MENA",20
"201","United Kingdom",2017,5,218,4,0,37,0,4,66,3.3,2666229179958.01,"Europe",95
"202","United States",2017,0,261,0,0,179,0,0,122,0,19485393853000,"Americas",89
"203","Uruguay",2017,0,1,0,0,0,0,0,1,0,56488991831.0239,"Americas",98
"204","Uzbekistan",2017,0,0,0,0,0,0,0,0,0,59159945320.5667,"Eurasia",3
"205","Venezuela",2017,0,2,0,0,0,0,0,1,0,NA,"Americas",30
"206","Afghanistan",2018,0,0,0,0,0,0,0,0,0,19362969582.3643,"Asia",26
"207","Argentina",2018,0,10,0,0,0,0,0,10,0,519871519807.795,"Americas",83
"208","Australia",2018,29,9,0,10,0,0,10,7,2.03,1433904348500.12,"Asia",98
"209","Austria",2018,0,1,0,0,0,0,0,1,0,455285818035.125,"Europe",94
"210","Azerbaijan",2018,0,1,0,0,1,0,0,1,0,46939529411.7647,"Eurasia",12
"211","Bahrain",2018,0,2,0,0,0,0,0,2,0,37746196808.5106,"MENA",12
"212","Belarus",2018,0,0,0,0,0,0,0,0,0,59662495092.2654,"Eurasia",21
"213","Belgium",2018,0,0,0,0,0,0,0,0,0,542761092103.469,"Europe",95
"214","Bosnia and Herzegovina",2018,0,0,0,0,0,0,0,0,0,20161865419.4327,"Europe",55
"215","Brazil",2018,21,89,0,52,26,0,52,42,8.82,1868626087908.48,"Americas",78
"216","Canada",2018,0,8,0,0,4,0,0,8,0,1713341704877.01,"Americas",99
"217","Chile",2018,0,0,0,0,0,0,0,0,0,298231133532.749,"Americas",94
"218","Colombia",2018,0,2,0,0,0,0,0,2,0,331047040087.878,"Americas",65
"219","Croatia",2018,0,0,0,0,0,0,0,0,0,60971699315.1776,"Europe",86
"220","Cyprus",2018,0,0,0,0,0,0,0,0,0,24961988663.2026,"Europe",94
"221","Czech Republic",2018,0,0,0,0,0,0,0,0,0,245225882903.37,"Europe",93
