"","X1","X1_2","X1_1","country","year","percentage_where_some_content_withheld","accounts_specified","accounts_withheld","tweets_withheld","accounts_tos","accounts_no_action","total_withholding_accounts_and_tweets","total_requests_made","requests_where_content_withheld"
"181",181,181,181,"Mexico","January - June 2017",0,4,0,0,1,0,0,5,0
"182",182,182,182,"Mongolia","January - June 2017",0,0,0,0,0,0,0,0,0
"183",183,183,183,"Nepal","January - June 2017",0,8,0,0,1,0,0,8,0
"184",184,184,184,"Netherlands","January - June 2017",17,12,0,1,6,0,1,12,2.04
"185",185,185,185,"New Zealand","January - June 2017",0,0,0,0,0,0,0,0,0
"186",186,186,186,"Norway","January - June 2017",0,0,0,0,0,0,0,0,0
"187",187,187,187,"Pakistan","January - June 2017",0,82,0,0,19,0,0,24,0
"188",188,188,188,"Paraguay","January - June 2017",0,1,0,0,0,0,0,1,0
"189",189,189,189,"Philippines","January - June 2017",0,1,0,0,1,0,0,1,0
"190",190,190,190,"Poland","January - June 2017",0,3,0,0,3,0,0,3,0
"191",191,191,191,"Portugal","January - June 2017",0,0,0,0,0,0,0,0,0
"192",192,192,192,"Qatar","January - June 2017",0,1,0,0,1,0,0,1,0
"193",193,193,193,"Russian Federation","January - June 2017",55,1225,87,566,224,0,653,1213,667.15
"194",194,194,194,"Saudi Arabia","January - June 2017",0,5,0,0,2,0,0,4,0
"195",195,195,195,"Serbia","January - June 2017",0,0,0,0,0,0,0,0,0
"196",196,196,196,"Singapore","January - June 2017",0,0,0,0,0,0,0,0,0
"197",197,197,197,"South Africa","January - June 2017",0,0,0,0,0,0,0,0,0
"198",198,198,198,"South Korea","January - June 2017",0,68,0,0,39,0,0,33,0
"199",199,199,199,"Spain","January - June 2017",6,37,0,2,11,0,2,17,1.02
"200",200,200,200,"Sweden","January - June 2017",0,0,0,0,0,0,0,0,0
"201",201,201,201,"Switzerland","January - June 2017",0,0,0,0,0,0,0,0,0
"202",202,202,202,"Thailand","January - June 2017",0,1,0,0,0,0,0,1,0
"203",203,203,203,"Turkey","January - June 2017",11,9289,204,497,1376,0,701,2710,298.1
"204",204,204,204,"Ukraine","January - June 2017",0,2,0,0,0,0,0,1,0
"205",205,205,205,"United Arab Emirates","January - June 2017",0,54,0,0,49,0,0,15,0
"206",206,206,206,"United Kingdom","January - June 2017",5,218,4,0,37,0,4,66,3.3
"207",207,207,207,"United States","January - June 2017",0,261,0,0,179,0,0,122,0
"208",208,208,208,"Uruguay","January - June 2017",0,1,0,0,0,0,0,1,0
"209",209,209,209,"Uzbekistan","January - June 2017",0,0,0,0,0,0,0,0,0
"210",210,210,210,"Venezuela","January - June 2017",0,2,0,0,0,0,0,1,0
"211",211,211,211,"Afghanistan","January - June 2018",0,0,0,0,0,0,0,0,0
"212",212,212,212,"Argentina","January - June 2018",0,10,0,0,0,0,0,10,0
"213",213,213,213,"Australia","January - June 2018",29,9,0,10,0,0,10,7,2.03
"214",214,214,214,"Austria","January - June 2018",0,1,0,0,0,0,0,1,0
"215",215,215,215,"Azerbaijan","January - June 2018",0,1,0,0,1,0,0,1,0
"216",216,216,216,"Bahrain","January - June 2018",0,2,0,0,0,0,0,2,0
"217",217,217,217,"Belarus","January - June 2018",0,0,0,0,0,0,0,0,0
"218",218,218,218,"Belgium","January - June 2018",0,0,0,0,0,0,0,0,0
"219",219,219,219,"Bosnia and Herzegovina","January - June 2018",0,0,0,0,0,0,0,0,0
"220",220,220,220,"Brazil","January - June 2018",21,89,0,52,26,0,52,42,8.82
"221",221,221,221,"Canada","January - June 2018",0,8,0,0,4,0,0,8,0
"222",222,222,222,"Chile","January - June 2018",0,0,0,0,0,0,0,0,0
"223",223,223,223,"Colombia","January - June 2018",0,2,0,0,0,0,0,2,0
"224",224,224,224,"Croatia","January - June 2018",0,0,0,0,0,0,0,0,0
"225",225,225,225,"Cyprus","January - June 2018",0,0,0,0,0,0,0,0,0
"226",226,226,226,"Czech Republic","January - June 2018",0,0,0,0,0,0,0,0,0
"227",227,227,227,"Dominican Republic","January - June 2018",0,3,0,0,0,0,0,3,0
"228",228,228,228,"Ecuador","January - June 2018",0,5,0,0,2,0,0,4,0
"229",229,229,229,"Egypt","January - June 2018",0,0,0,0,0,0,0,0,0
"230",230,230,230,"Estonia","January - June 2018",0,0,0,0,0,0,0,0,0
"231",231,231,231,"Finland","January - June 2018",0,0,0,0,0,0,0,0,0
